,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,HotelPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,MADR,False,Madrid,Spain,https://content.skyscnr.com/13ce98b674f110e5466fea801ffb05bd/madrid.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/madrid-holidays/cia-27544850,0.0,/hotels/search?entity_id=27544850&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,ALIC,True,Alicante,Spain,https://content.skyscnr.com/2df165e46db19d6bcbb86e556a49a1bf/alicante.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/alicante-holidays/cia-27536538,36.0,/hotels/search?entity_id=27536538&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,28.0,76.0,2021-11-10T17:18:00,2021-11-10T18:27:00
2,PALM,True,Palma,Spain,https://content.skyscnr.com/c643eed202678c7de51c5ed5856998e4/GettyImages-497942480.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/palma-holidays/cia-27545988,23.0,/hotels/search?entity_id=27545988&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,22.0,81.0,2021-11-10T16:11:00,2021-11-11T12:03:00
3,MENO,False,Menorca,Spain,https://content.skyscnr.com/cc3d610f7586a1f3da7df041da3e0f31/menorca.jpg,,86.0,/hotels/search?entity_id=81972646&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T14:32:00,
4,VALE,True,Valencia,Spain,https://content.skyscnr.com/m/2151532d1a93105c/original/Guide-Page-Image-Valencia.JPG,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/valencia-holidays/cia-27547405,40.0,/hotels/search?entity_id=27547405&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,34.0,94.0,2021-11-10T12:15:00,2021-11-11T11:13:00
5,FUER,False,Fuerteventura,Spain,https://content.skyscnr.com/b4ef80670c581d86543850f97fb2df9f/GettyImages-460870155.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/fuerteventura-holidays/cia-27541737,26.0,/hotels/search?entity_id=27541737&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T20:44:00,
6,ARRE,True,Lanzarote,Spain,https://content.skyscnr.com/8f05010aa03fd05aa210ab04d5edc14d/GettyImages-453466115.jpg,,,/hotels/search?entity_id=81972637&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,39.0,,,2021-11-11T19:16:00
7,SANT,False,Santander,Spain,https://content.skyscnr.com/364a15bf843b1cbaff238b40d2ba0626/GettyImages-473550916.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santander-holidays/cia-27546294,31.0,/hotels/search?entity_id=27546294&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T14:15:00,
8,RMUA,False,Corvera,Spain,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/corvera-holidays/cia-30020729,221.0,/hotels/search?entity_id=30020729&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T14:10:00,
9,ZARA,False,Zaragoza,Spain,https://content.skyscnr.com/06189bcba4b14787566375887dbd7291/GettyImages-463461929.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/zaragoza-holidays/cia-27537482,42.0,/hotels/search?entity_id=27537482&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T21:13:00,
10,VITO,False,Vitoria-Gasteiz,Spain,,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/vitoria-gasteiz-holidays/cia-27547400,84.0,/hotels/search?entity_id=27547400&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T16:58:00,
11,IBIZ,False,Ibiza,Spain,https://content.skyscnr.com/d5a71bb9ad10ed943ce61251761be64a/GettyImages-177133241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/ibiza-holidays/cia-27542788,61.0,/hotels/search?entity_id=27542788&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T19:39:00,
12,GRAN,True,Gran Canaria,Spain,https://content.skyscnr.com/m/52c63dea83a8987c/original/24_19-1.jpg,,42.0,/hotels/search?entity_id=81972632&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,75.0,,2021-11-10T20:11:00,2021-11-12T09:08:00
13,TENE,True,Tenerife,Spain,https://content.skyscnr.com/m/5954933ffe79635b/original/eyeem-28451928-143557105.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/tenerife-holidays/cia-27547165,0.0,/hotels/search?entity_id=27547165&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,141.0,76.0,,2021-11-10T17:14:00
14,SANC,False,Santiago de Compostela,Spain,https://content.skyscnr.com/e19aa81083a29803e0f619554eead53b/eyeem-26693940-124275584.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/santiago-de-compostela-holidays/cia-27546279,65.0,/hotels/search?entity_id=27546279&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T23:57:00,
15,BARC,False,Barcelona,Spain,https://content.skyscnr.com/7adba3a46af3ca29695f96937d19fcf1/GettyImages-149127892.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/barcelona-holidays/cia-27548283,46.0,/hotels/search?entity_id=27548283&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,125.0,2021-11-11T17:29:00,
16,MALA,True,MÃ¡laga,Spain,https://content.skyscnr.com/885adc49a58167bc2bfc0ec3176095d1/GettyImages-178637651.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/malaga-holidays/cia-27547484,35.0,/hotels/search?entity_id=27547484&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,66.0,,2021-11-10T17:54:00,2021-11-12T14:30:00
17,SEVI,True,Seville,Spain,https://content.skyscnr.com/7b3a368cac5b45d17fc01b6122cc68b0/GettyImages-536922069.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/seville-holidays/cia-27547022,30.0,/hotels/search?entity_id=27547022&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,44.0,,2021-11-11T18:35:00,2021-11-12T15:20:00
18,BILB,False,Bilbao,Spain,https://content.skyscnr.com/060f28eebcfc6402d8ab9c887c295ff6/GettyImages-176437830.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/bilbao-holidays/cia-27538794,88.0,/hotels/search?entity_id=27538794&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T19:59:00,
19,GERO,False,Girona,Spain,https://content.skyscnr.com/2f2e265082e346c1a4f03d113955a9ec/GettyImages-516250775.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/girona-holidays/cia-27541920,105.0,/hotels/search?entity_id=27541920&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,106.0,2021-11-09T13:27:00,
20,AVIL,False,Asturias,Spain,https://content.skyscnr.com/586e2799edf9ce96741e32122cc0df88/GettyImages-478937673.jpg,,120.0,/hotels/search?entity_id=44304071&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-10T08:03:00,
21,JERE,False,Jerez,Spain,https://content.skyscnr.com/4494ca93db98fff4b44987674f27433d/GettyImages-545879142.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/jerez-holidays/cia-27536324,144.0,/hotels/search?entity_id=27536324&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T15:17:00,
22,GRAO,False,Granada,Spain,https://content.skyscnr.com/6c6fe125df67140eb31858be6f226105/GettyImages-177531241.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/granada-holidays/cia-27541926,148.0,/hotels/search?entity_id=27541926&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T15:31:00,
23,LAPA,False,La Palma,Spain,https://content.skyscnr.com/877f70af45ec23543d4c3ac0cbb77f8e/GettyImages-502911694.jpg,,179.0,/hotels/search?entity_id=81972633&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T20:53:00,
24,ALME,False,Almeria,Spain,https://content.skyscnr.com/c66dd79842140393f3a2015eb43f379b/GettyImages-95348895.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/almeria-holidays/cia-27544024,196.0,/hotels/search?entity_id=27544024&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-09T10:17:00,
25,VIGO,False,Vigo,Spain,https://content.skyscnr.com/cc22b75af4f3a35b548d65b1e0be5f35/GettyImages-529405851.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/vigo-holidays/cia-27547389,203.0,/hotels/search?entity_id=27547389&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-12T13:40:00,
26,LAGO,False,La Gomera Tenerife,Spain,https://content.skyscnr.com/68713669f8970547150fabf7164dc2c5/GettyImages-471725773.jpg,,216.0,/hotels/search?entity_id=81972634&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T09:17:00,
27,PAMP,False,Pamplona,Spain,https://content.skyscnr.com/cdf660a93ef7539ffbf5895fe7b34e8f/GettyImages-177522209.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/pamplona-holidays/cia-27545995,221.0,/hotels/search?entity_id=27545995&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T16:53:00,
28,SANS,False,San Sebastian,Spain,https://content.skyscnr.com/68d7b32cae281d000c51abbac7dc8aeb/GettyImages-476595079.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/spain/san-sebastian-holidays/cia-27540862,363.0,/hotels/search?entity_id=27540862&checkin=2021-11-12&checkout=2021-11-13&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,2021-11-11T16:58:00,
