,Id,Direct,Name,CountryName,HolidayUrl,IndirectPrice,HotelUrl,ImageUrl,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime
0,SZYA,False,Szczytno,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/szczytno-holidays/cia-27547116,0,/hotels/search?entity_id=27547116&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,KATO,False,Katowice,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/katowice-holidays/cia-27543914,0,/hotels/search?entity_id=27543914&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/717354cff20de80c11a1c36aa9322b17/GettyImages-177509489.jpg,,,
2,WROC,False,Wroclaw,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/wroclaw-holidays/cia-27536248,0,/hotels/search?entity_id=27536248&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/7387d4b223075dd116e68295d7ae2f19/GettyImages-470289252.jpg,,,
3,SZCZ,False,Szczecin,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/szczecin-holidays/cia-27547117,0,/hotels/search?entity_id=27547117&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/363001a95f323b1039c625e535b62290/GettyImages-472074854.jpg,,,
4,WMIP,True,Nowy Dwor Mazowiecki,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/nowy-dwor-mazowiecki-holidays/cia-38835020,24,/hotels/search?entity_id=38835020&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,26.0,2021-11-13T06:52:00,2021-11-13T06:26:00
5,GADA,False,Gdansk,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/gdansk-holidays/cia-27541787,31,/hotels/search?entity_id=27541787&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/d1a92e9f1873e310438eff1d7af8fe8e/GettyImages-484214866.jpg,,2021-11-10T16:59:00,
6,BYDG,False,Bydgoszcz,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/bydgoszcz-holidays/cia-27539667,0,/hotels/search?entity_id=27539667&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/3fe57e149051c19d64468419c24b7e69/GettyImages-178758607.jpg,,,
7,POZN,True,Poznan,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/poznan-holidays/cia-27546015,30,/hotels/search?entity_id=27546015&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/25d8e7ad6875d8b3332461fb2ed6ecf9/GettyImages-122449338.jpg,43.0,2021-11-11T17:31:00,2021-11-13T00:47:00
8,KRAK,True,Krakow,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/krakow-holidays/cia-27543787,22,/hotels/search?entity_id=27543787&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/f7f6af4f80f12335dd8b34745ce453a4/krakow.jpg,20.0,2021-11-10T15:37:00,2021-11-10T15:37:00
9,RZES,False,Rzeszow,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/rzeszow-holidays/cia-27546237,0,/hotels/search?entity_id=27546237&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
10,WARS,False,Warsaw,Poland,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/poland/warsaw-holidays/cia-27547454,61,/hotels/search?entity_id=27547454&checkin=2021-11-13&checkout=2021-11-14&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,https://content.skyscnr.com/bb03981ea6c8a91de7d8bcd29e440df6/GettyImages-474677895.jpg,,2021-11-12T02:27:00,
